name,lat,lon,type,rating,user_ratings_total,photo_reference,amenity_score
Praia de São Bruno,38.6982632,-9.2741772,Beach,4.2,117,places/ChIJKyHwvP7LHg0RRaYxynmqhkM/photos/ATCDNfUOCi2jda_Wj46gX4072B3wbL9U2yRxfgqq_GDDcMONYlNiUS-wBukR19_JJKOc4IeRaEEIsGAFatW_pp5BBsy5QfhnBPX0Q0pV7du9b8aIPuX1gkK4aUF-sVoUm1M0z9MzFFFcFCTmJ66H09sKZ1OyAdEXe5oJcMHOeBe4L_GsYvZMw9QL0O6wSmAs4nfYHCI9ulun-gKmOcToCy7qyMpikX2yDTE5oz7gok0lWSXLBm_oGHV2ZrW44MprMgS3wJSa83XyjZ-JvYv_VjiH7Biq0twRyV1F30SnsXAY9t9tfuAVY5S-zah1a2SMFZMbXuI-7FmdJluQURQD63EySvW8QVbjqVqjoquLUQpgY60DXFWhmIS9tXLZk6DOzUbl1Pl0MbNiPU2AoWuBUK8g2n-Dcs8Asl6ZkJS3gW5BjKWrdw,50
Praia da Cova do Vapor,38.6627186,-9.2581179,Beach,4.4,1471,places/ChIJLVwCzsrLHg0Rz-1ew5n0DM0/photos/ATCDNfUXN_vVcYnGQZh5tJI5Ni9gnZbZIOOrTguwVxrz4IrysoP60Pe9mq8PAr5iQVJssyyF2UIhoUNTgvvL_4wYPfF4WmgRH-WPYYHldwqpWMKKEpmo98dBRlY9J3dnlihECUjmqY14V3TyD7zH2T4LRAtz0N8nn9wknu0V5_GSBXZfdGwDQTJawR4og9sAIAkOnYrdWN-hv9ZLtLMwtzG6_aTQlM_DCnucT9O4p8ShZQzb1auXatc3UuZheee80AARYRRBFcM_Qlj8qvsczcFMCCp6lU1D2aX0s2DJDx6BlzdONV5YXOAAW-qVwgbenJPf3s3kKHJLwceFZ2FPAfwDtwhuM3fB5h3CN2SU09_1ryCFX9X6iSoRsfVNz-z5Zg2sO7dWhBhmCC2WHfK-CHXO3Z-3HOCIPeIMrd_wnHC5C2h7XQo,50
Praia de São João,38.6562645,-9.2500108,Beach,4.4,3066,places/ChIJOwJlxk7KHg0RsaOOAVxYmD4/photos/ATCDNfVFuRbdL5TxdEQ05a35C21qpipHcKQqh1MYhqA6pCi6Jv3-4EtxXumt39cTxA-mc0obfKM-vDwGbljLsFiHe9UyEby9AQUC3yqEPzfyPhWV8_PPT7TZzYlYi3gy685turb5wlgfUu5ai-eTjcvlGnFRFB2W_chHxB9H9vC9unI2OCXYnUYo6eg6xHaP1j2kVnPs0h7W_eo9wRFDIWpzJsJK-F2wExLn44Sjb6GSdsZcfMsY2V6jQtD1LcaDDBayvry8I9cdQW10PNM6RHBQQgJs3Y8D1VuQUnMjTVVRpKaUXorCJpcB-7GwvBJgOVBVhaPZJdXzQdLblGF7FdU4yP5kXvPHAMtYqMXy-I7lZteCJt_ovkxRSNJK6n61Phrb_NoyfbLJRtKrHDlrUsnqMyqK3BwJN2je-OAa5QyzHOuClg,50
Caxias Beach,38.6986692,-9.279258,Beach,4.1,2900,places/ChIJAbf0eVXJHg0RHgbEjNkHETY/photos/ATCDNfVw-RxhQWpaH0Jk4_92XZt288iK1C-qaBW9ai58yRNts9UXlJkpfKHge-vEU2oLpe7P4MmoPjNfZu-3qizhp9iJg6Rbxgnw0h3v6K3YAV_eyWlIp6vEXWQlrGpKXnjCAEyPVfjHN0560rgAerpDeERokMJ8h67fuamYJDvDb1ol3B2EGpLrhZPLbkqG83azzrLRsTxWLUtVV-WiOIrjpROs8wrKZ00s7DuIFnYx6RBurjjWzuQ8bdNMf3QZK-2Yd84Z5m8iNYM6pgTw5PRqPKuL0jSAAaboHAOxl9JiRUXx8SrTWPmcb-AYbZ8PJyVztqfOZXUysmxBZRInhe5-tEoeNOjPR7Mkd-bezZkFZDOf_tTwJAlG9tlY5ZkQ-pST5O6fdCXa9o6jKE3NrCCjvL1C6NXjmzsp4Bcht8p3CkkRSE8u,50
Belém Tower,38.691583699999995,-9.215977299999999,Viewpoint,4.5,111079,places/ChIJS5zCw0LLHg0RP1FSz63cAjA/photos/ATCDNfXz0O2mckaNiEkyegxzluI9rAZ3m8BOGK_ecKaMKsr-fhizSaVcka1IkXGf-tyZueqI3_dva3kUzuHummTWDuRs0aKjp-ScH4BB_0NsM4xKbdtgMtijnwEtZp3eUT9grvBOmsJKEMvpc-b9c4ezSnPHFXONe2YAyEqYgHnV-2-eJho29FT7cX-60vxvmb5HXEOpMSb5hFQf5ZxhdQMJPQlvZMDC5e4eDo0zj9rFXs0Cu_n4eOfajTvVH-mIsnFL3eLevJ7J5MZYkzacBPpIwzF1VyeAISUs3rpAH8xS-bg_os7HXWFlP39sB4UsW1ZgMkTRkt3leQoJ6GrMhbtK1web2ES25yeGKFBjayZG-3UEyJcJOPjTP3WdnSDpWVAuccMZG6aJeZL7PKw_l80fBoFLqKDF40bdnG9rp5JEmoikefs,50
Castelo de São Jorge,38.713909199999996,-9.1334762,Viewpoint,4.5,98689,places/ChIJm8MOtHc0GQ0R1zPkmUFwwLQ/photos/ATCDNfVfz_e7Pdq4h39lPhpXPSYPVec9d67JSFqXpGidTN-p5KXPbviECbTWRHD7KPsG_19zF5RhQyQ99VwOL2oSr9vpdrhrkRj_uvd9MtHaRl47Xd2jQOIlljpqv1CZT-bpg8nWsGb_g6dhLo6O6bWBgmokJ-7ocXzesyvpytGXvqJLMkHdBHc8ntMTj6x_gi95ojUxuqcW0matOS33XGEqgZwitqHROqbl-f0xjFztYt3H_TPU1gcFUUlPA-mJ5qqFhlILhzjefexdFRNc2TTFnmnM8El1DaDLVmdPmDPxy-PGoyMf9V1dgf1rHjx7nf5Om9KYzWpl4rEWblweKon1mhd8J7kuc21oN9qapP7SEtNGIlcXPfsJfA3317OJw80jlhKcaX-mKZxE7vy1bEW2Rc7hIiOr4EP-o5xR67UGfOX3LQ,50
Praça do Comércio,38.7072828,-9.136361299999999,Viewpoint,4.7,128248,places/ChIJY0ulMHo0GQ0RROAoa18vUzA/photos/ATCDNfW-6UZ84KHAJnyGiuwhfgMGdpRWzmFEogbKi-jwoBDlRuHrj3i419voVRDvVp6UM0-_nLhiw-hr7d5E6GOAhhtzl_kxY3u78Xhlqiol4l_BPhDSi_7Rr-wYDIq7T3Q62h66Q-UZbM2j9CpzF8NU0PKI1ICcqzKvfCsfz3DWVvv6MkzCcbDOwHqRiL_qzK63-hAsu8dNETBc9cZq-zNESsya2UMMKiiMP1-gNElq39ecE9229LyfJ90Ton0a6K-oSDJZy7v9MRlF9d_T-O3h7FxRiZ5y1FddjHKKDJP1Md0j-CZrednggSErvKgOM22nEU-mqrvqhDwGjalceKgYtp_GeJkPyPdABwmvL3C67ppvtNtpJlduTf-4wMQO3hsDHwkyyJlr3b18uIsqG3mQBG1RNYolat3zGWzByllAWZk,50
LX Factory,38.703460199999995,-9.1787831,Viewpoint,4.5,63363,places/ChIJ5dveYa80GQ0RrEP1FKqq6zM/photos/ATCDNfXR70r5xx0OvtXaHW3BbXwl8VYAoZBhqXeupYv6PEGxi32uGK_avET8wEsansnSg4kTptBr9PVt8YD6Q4cUjegP1zRwj1yggzMMLiwBnjg1Gave4hnLTDMR7jwQL-R8-aMzVNbHm54TDd143Su8gVWN0NCOwsXEbEHuZT8EVT-4Uun0NVUrFB5wSZzxthQJBupQZJPwSKIEDFKPP_FtkgH4DCDW_jw1MFL9wU9Ke5BS-e0a42nxWq-qqM0DyTG5cEydezTWwOPUiZ0myrT7L7T3hT5wG-omp-mSDm2Sgy2lF9RQipSlWPE04R-qKgTYASbeMV-PS8SVGxsATwfUAhgm6caV9nDgrcx7VvhjyuJBPawoYIMI-AjSjkMwJfJPwQgoRKbk5lyN0vifGInVaeuY2FP29tSKO6P2b02GvvMIOg,50
Jerónimos Monastery,38.6978909,-9.206703899999999,Viewpoint,4.5,59278,places/ChIJS5zCw0LLHg0R7euWjjRddYc/photos/ATCDNfWJDA8nP-g9R7531aQ0BOkZSGc2nZjgmxSR83LCoES52YIBWOgSEv_XFye9UzpvibRSeBX-YBfDGEJ96KJVNqCGL3tL5CtJKzwXBu6aUG5bFh_iH55L0npt6axVtSs1hI6nvUlB8qaI8Qi2PloPCltdM1mrOKdNULBa9kiVixGyNJI08r2jsIKxlJZc_Uj0W1eflwJWDpEzvhXphtYr6mDheo7M_Ds6UPbBAKYb0n3pK9Bgoil1L2adltm2B7QdaucA7xDqTeTKA6hvhJ7Khqu90iSncIK0I1W7ccAjgyTuFhP-zQy2ejGNH0fec0qMx28FRDeD1JjNrpTn1BFooVObslQ33Dv5GGlIdqTWrRzQS-69_5KjxElxdErSGI3V4Ab1UrNPbxYYgifXoJvXzqgY70S8wFQC4sb5L3Nlqaqi59EFc5I4IKzfrzxpjXqj,50
Lisbon Cathedral,38.7098339,-9.1329535,Viewpoint,4.4,33684,places/ChIJm9xRPnc0GQ0RGWK34RwdbpI/photos/ATCDNfU5e8cbT-TPs2t6VWXoahqPiMZXd_QW_7kmMmjY8qjEmAjbh9q-ACDpRq9Dr0AZWmNcSrWh2Z55CaksLXPkjJNbhcmoBZljxRDAvF2R5T73046Y_8arOEtq3hDCquWUytvn7_h2cDe1c_WVLqUjNROFMNA2H8O5sx1QEYhtW9NVuA6DHPfP01PcFyxZKyx5K6j4KIAMXbNQDTM6Mbvp1Hkg9xSNABs-iuneGcdz0h3wufsENkLaSIHDeinDsNplgO-1gRRH0AdOnOL_AxKDD0urirTB_9SOEQThs-vi3dFVIqK8D84iBzGVwliFkvSIRmBUbG8mO8PzhQaMOm8JSqioqguXhZC4zdYmNKS02CQyDa1Tf4hqJG0tM-2WJ_DdXF6J6tqGrRAlKfTge-ma67wBkFJviebRQ7jdvGcmcybYSND-,50
